osm_id,network_id
25753,set()
22544,{'89156'}
27672,set()
13546,{'106'}
3682,set()
11943,set()
22136,{'545372'}
29952,set()
23276,set()
660,{'308785'}
19098,{'430969'}
18548,set()
15244,{'308896'}
27064,set()
9974,"{'540930', '179797'}"
16875,{'460228'}
27041,{'461589'}
15447,{'223439'}
20895,{'489937'}
5688,set()
20020,{'95537'}
26905,{'46380'}
28815,{'204968'}
11611,set()
12306,{'459907'}
13163,{'198402'}
7481,set()
28706,set()
25180,set()
20157,set()
21361,{'117901'}
6340,{'310619'}
21566,{'483485'}
2110,{'215677'}
23525,set()
28026,{'358005'}
28143,set()
20437,set()
27725,{'571029'}
15739,{'17631'}
23096,{'550141'}
25061,set()
19405,{'410456'}
24110,{'277735'}
26217,{'549645'}
5794,set()
25476,{'280224'}
2412,set()
22068,"{'545812', '226167'}"
9724,{'168085'}
233,{'64934'}
24550,set()
1245,set()
21323,set()
9568,set()
20796,set()
13372,set()
1120,set()
21986,set()
20891,set()
1785,set()
1715,{'310584'}
12149,set()
1875,set()
3700,{'558396'}
16005,set()
24914,set()
26763,{'91025'}
21945,{'353516'}
7086,set()
28986,{'543527'}
22115,{'570606'}
20562,set()
30116,{'514748'}
9706,set()
28311,{'317125'}
16371,set()
26141,{'410610'}
14206,{'297255'}
14807,set()
28659,set()
13837,set()
2556,{'556560'}
11059,set()
9149,{'410528'}
27058,{'424200'}
3060,set()
18660,{'544480'}
14216,{'154707'}
3152,set()
4537,{'252914'}
6001,set()
21179,{'273167'}
12130,set()
4167,set()
14585,set()
2678,{'348376'}
26542,set()
29447,{'558191'}
11750,{'293428'}
6927,{'278498'}
24469,{'13783'}
27596,set()
6399,set()
13606,set()
27098,{'461589'}
17991,set()
30263,{'460228'}
13025,set()
25930,{'50418'}
8703,set()
6727,{'357943'}
29751,{'553947'}
23082,{'297114'}
13721,{'309695'}
11691,set()
8319,set()
24753,set()
8986,{'226167'}
12705,{'550125'}
14713,{'314255'}
10680,set()
26728,{'548509'}
14372,set()
25108,set()
12692,{'434956'}
17652,set()
7276,set()
23704,set()
14307,{'484996'}
23602,{'424424'}
9879,{'216306'}
10638,set()
23995,{'357362'}
25830,set()
4452,set()
26239,{'254462'}
29754,{'516442'}
282,set()
8509,set()
29100,set()
27693,{'73734'}
5741,set()
2022,{'124547'}
23859,set()
27766,{'125068'}
17645,set()
5100,{'341771'}
6631,{'429982'}
19333,set()
28486,"{'202538', '23805'}"
8514,set()
21271,set()
24044,{'230357'}
19735,{'522090'}
30093,{'514748'}
2361,set()
5106,{'341771'}
19838,{'552999'}
15591,{'319139'}
27034,set()
446,{'516474'}
622,{'427104'}
15148,{'280224'}
4073,set()
9722,{'15971'}
13514,{'205446'}
25004,set()
9878,set()
6755,set()
1035,{'549645'}
2741,{'321959'}
16935,{'420070'}
7767,"{'488387', '103342'}"
11077,{'542363'}
13652,{'252027'}
7421,set()
24757,{'352273'}
20958,set()
26642,set()
6932,set()
130,{'103294'}
25159,{'89818'}
4743,{'272454'}
6179,set()
12503,{'278245'}
15698,{'556341'}
30319,{'481165'}
2562,{'252027'}
7581,set()
14131,{'310619'}
29964,{'570562'}
24868,set()
28261,set()
2915,"{'440805', '291710'}"
5520,set()
13051,set()
22592,{'527225'}
12949,{'253437'}
18996,set()
15291,{'571669'}
20304,set()
15342,{'474548'}
27465,{'289213'}
2701,{'557526'}
1605,{'316799'}
2813,set()
3436,set()
3490,{'282408'}
25914,"{'291412', '426940'}"
2502,set()
19592,{'272175'}
13007,set()
17305,{'314255'}
19994,set()
12699,{'483347'}
25937,{'251814'}
3852,{'280341'}
1669,set()
9442,set()
11914,"{'34974', '114566'}"
13257,{'252027'}
10539,{'491336'}
595,set()
3026,{'116870'}
17914,{'483485'}
27905,set()
8967,"{'490708', '551308'}"
21622,set()
19100,set()
28044,set()
8468,{'89433'}
5567,set()
28210,{'421159'}
29008,set()
30001,set()
27657,set()
9490,set()
26238,{'254462'}
11521,{'253437'}
25451,{'410520'}
6815,{'255534'}
4422,set()
25048,set()
18702,{'494980'}
12656,{'426940'}
15984,{'570602'}
848,set()
9894,{'558183'}
10980,{'430969'}
17161,{'557554'}
28010,set()
29647,{'552380'}
19694,set()
9513,{'25492'}
5910,{'492409'}
22137,set()
1781,{'229827'}
18036,{'317020'}
14260,{'494938'}
18764,set()
12765,set()
14579,set()
15606,"{'39116', '536846'}"
29973,set()
12960,{'558418'}
7021,"{'223922', '343793'}"
17109,set()
12153,set()
15280,{'549284'}
17978,set()
25704,set()
1100,"{'428526', '522090'}"
2021,set()
408,{'517786'}
4420,{'350864'}
19783,{'198630'}
12486,set()
7585,set()
1388,set()
25811,{'272908'}
4726,set()
22022,set()
17448,{'119532'}
4048,set()
23809,{'514613'}
16635,set()
18123,{'545893'}
14076,set()
29251,{'224322'}
680,set()
28586,{'459461'}
12127,{'338511'}
24717,set()
25899,{'432861'}
23440,{'297114'}
8710,{'410063'}
5544,{'125068'}
1447,set()
4473,{'271429'}
27227,{'65113'}
2970,{'92620'}
4353,{'558418'}
10445,{'217700'}
288,{'418194'}
22902,set()
7480,set()
13937,set()
29255,{'224322'}
12764,set()
21886,set()
10313,{'462649'}
15908,{'549118'}
28239,"{'494844', '572125'}"
8672,{'43767'}
3603,{'467315'}
23885,{'89340'}
3068,set()
9396,set()
9738,{'543527'}
24075,{'324445'}
17493,set()
13865,set()
26312,set()
2097,{'494721'}
18758,{'261372'}
10761,{'286201'}
20478,set()
2343,set()
29893,set()
29041,set()
261,set()
24669,set()
20268,{'570603'}
8877,{'548649'}
25303,{'293428'}
28679,{'409348'}
7365,{'467689'}
5986,set()
25387,"{'308896', '280224'}"
2497,set()
6557,{'379555'}
21420,{'50418'}
24259,set()
22019,{'280224'}
11366,{'255534'}
12631,set()
27705,set()
29567,{'423944'}
903,set()
25608,set()
23858,{'556764'}
15242,{'490688'}
18407,set()
2776,set()
5144,set()
19581,set()
11248,set()
23369,{'459933'}
11008,set()
20751,{'467315'}
2695,{'154707'}
11071,set()
27312,set()
15347,set()
24952,set()
19202,set()
18117,{'230357'}
6197,{'282408'}
24799,set()
8933,{'125068'}
20625,"{'540930', '50680'}"
18744,{'343426'}
18237,{'548642'}
6316,set()
21719,{'424424'}
18249,{'233076'}
1650,{'551344'}
29671,{'423944'}
9671,set()
20186,set()
26489,set()
3669,{'395807'}
29715,set()
160,{'543527'}
20786,set()
7877,set()
19562,set()
16989,set()
1999,{'297027'}
18946,{'427104'}
3007,set()
27576,set()
11496,set()
2218,set()
4183,{'273074'}
20658,{'357030'}
2772,set()
30062,{'480822'}
21738,{'78639'}
10067,{'227193'}
2856,set()
19221,set()
1755,set()
20316,{'545812'}
5328,{'205446'}
4171,{'550141'}
5014,set()
18969,{'286760'}
16909,{'542811'}
18481,set()
28927,set()
8091,{'124547'}
18226,{'548642'}
16389,{'24099'}
18401,set()
15537,{'436449'}
7782,set()
25071,set()
20038,set()
7462,{'416255'}
2710,{'115387'}
10666,{'293915'}
28760,set()
20386,{'125952'}
2204,{'427370'}
10467,{'272454'}
303,{'254593'}
2512,{'554614'}
16692,{'543527'}
7785,{'273167'}
29289,set()
13296,{'410520'}
836,set()
11828,{'550141'}
24309,{'516378'}
30241,{'571031'}
30438,{'570562'}
